timestamp,cam_id,name,codigo,grado,distancia,decision,quality,snapshot_path
2025-11-14 11:58:06,2,DESCONOCIDO,DESCONOCIDO,,0.56,rejected,DISTRAIDO (Abajo)|-,C:\Users\Usuario\Desktop\Proyecto_Reconocimiento_Facial\data\snapshots\20251114_115806_DESCONOCIDO.jpg
2025-11-14 11:58:08,2,DESCONOCIDO,DESCONOCIDO,,0.58,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:09,2,DESCONOCIDO,DESCONOCIDO,,0.57,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:13,2,DESCONOCIDO,DESCONOCIDO,,0.57,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:14,2,DESCONOCIDO,DESCONOCIDO,,0.57,rejected,DISTRAIDO (Arriba)|-,
2025-11-14 11:58:15,2,DESCONOCIDO,DESCONOCIDO,,0.59,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:16,2,DESCONOCIDO,DESCONOCIDO,,0.63,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:20,2,DESCONOCIDO,DESCONOCIDO,,0.56,rejected,DISTRAIDO (Arriba)|-,
2025-11-14 11:58:22,2,DESCONOCIDO,DESCONOCIDO,,0.52,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:23,2,DESCONOCIDO,DESCONOCIDO,,0.57,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:24,2,DESCONOCIDO,DESCONOCIDO,,0.55,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:26,2,DESCONOCIDO,DESCONOCIDO,,0.56,rejected,DISTRAIDO (Abajo)|-,C:\Users\Usuario\Desktop\Proyecto_Reconocimiento_Facial\data\snapshots\20251114_115826_DESCONOCIDO.jpg
2025-11-14 11:58:27,2,DESCONOCIDO,DESCONOCIDO,,0.54,rejected,DISTRAIDO (Arriba)|-,
2025-11-14 11:58:30,2,DESCONOCIDO,DESCONOCIDO,,0.56,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:31,2,DESCONOCIDO,DESCONOCIDO,,0.60,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:32,2,DESCONOCIDO,DESCONOCIDO,,0.55,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:33,2,DESCONOCIDO,DESCONOCIDO,,0.58,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:36,2,DESCONOCIDO,DESCONOCIDO,,0.54,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:38,2,DESCONOCIDO,DESCONOCIDO,,0.63,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:39,2,DESCONOCIDO,DESCONOCIDO,,0.62,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:41,2,DESCONOCIDO,DESCONOCIDO,,0.59,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:42,2,DESCONOCIDO,DESCONOCIDO,,0.53,rejected,DISTRAIDO (Arriba)|-,
2025-11-14 11:58:43,2,DESCONOCIDO,DESCONOCIDO,,0.59,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:45,2,DESCONOCIDO,DESCONOCIDO,,0.57,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:46,2,DESCONOCIDO,DESCONOCIDO,,0.56,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:48,2,DESCONOCIDO,DESCONOCIDO,,0.56,rejected,DISTRAIDO (Abajo)|-,C:\Users\Usuario\Desktop\Proyecto_Reconocimiento_Facial\data\snapshots\20251114_115848_DESCONOCIDO.jpg
2025-11-14 11:58:50,2,DESCONOCIDO,DESCONOCIDO,,0.57,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:51,2,DESCONOCIDO,DESCONOCIDO,,0.56,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:53,2,DESCONOCIDO,DESCONOCIDO,,0.59,rejected,DISTRAIDO (Abajo)|-,
2025-11-14 11:58:54,2,DESCONOCIDO,DESCONOCIDO,,0.58,rejected,DISTRAIDO (Abajo)|-,
